output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,h_mean,r_mean,0.01944,0.03868
d_collapse,h_mean,C_diag_mean,0.07145,0.04886
d_collapse,h_mean,C_offdiag_mean,0.06746,0.04853
d_collapse,h_mean,s,0.11363,0.0535
d_collapse,h_mean,c,0.11637,0.05182
d_collapse,h_mean,c_prime,0.18382,0.05776
d_collapse,h_mean,gamma,0.1441,0.05376
d_collapse,h_mean,kappa,0.17461,0.06497
d_collapse,h_mean,sigma,0.20807,0.06029
d_collapse,h_mean,entry_threshold,0.24879,0.06839
d_collapse,r_mean,C_diag_mean,0.03767,0.04569
d_collapse,r_mean,C_offdiag_mean,0.06911,0.0493
d_collapse,r_mean,s,0.10479,0.05347
d_collapse,r_mean,c,0.11109,0.05237
d_collapse,r_mean,c_prime,0.1691,0.05762
d_collapse,r_mean,gamma,0.13538,0.05515
d_collapse,r_mean,kappa,0.16153,0.06429
d_collapse,r_mean,sigma,0.19178,0.05934
d_collapse,r_mean,entry_threshold,0.24746,0.07352
d_collapse,C_diag_mean,C_offdiag_mean,-0.03248,0.03715
d_collapse,C_diag_mean,s,0.02036,0.0446
d_collapse,C_diag_mean,c,0.0217,0.04114
d_collapse,C_diag_mean,c_prime,0.05429,0.04597
d_collapse,C_diag_mean,gamma,0.04538,0.04453
d_collapse,C_diag_mean,kappa,0.09125,0.05529
d_collapse,C_diag_mean,sigma,0.08148,0.04765
d_collapse,C_diag_mean,entry_threshold,0.11841,0.06495
d_collapse,C_offdiag_mean,s,0.00817,0.04161
d_collapse,C_offdiag_mean,c,0.05221,0.04401
d_collapse,C_offdiag_mean,c_prime,0.1006,0.05046
d_collapse,C_offdiag_mean,gamma,0.08038,0.04719
d_collapse,C_offdiag_mean,kappa,0.10811,0.05747
d_collapse,C_offdiag_mean,sigma,0.11352,0.0495
d_collapse,C_offdiag_mean,entry_threshold,0.16328,0.06648
d_collapse,s,c,-0.01168,0.03778
d_collapse,s,c_prime,0.02473,0.04105
d_collapse,s,gamma,0.01599,0.03893
d_collapse,s,kappa,0.04028,0.04519
d_collapse,s,sigma,0.04054,0.04164
d_collapse,s,entry_threshold,0.10943,0.05667
d_collapse,c,c_prime,-0.0032,0.0375
d_collapse,c,gamma,0.01574,0.0338
d_collapse,c,kappa,0.04093,0.0414
d_collapse,c,sigma,0.04575,0.03803
d_collapse,c,entry_threshold,0.11149,0.0557
d_collapse,c_prime,gamma,-0.07154,0.04181
d_collapse,c_prime,kappa,-0.04508,0.04363
d_collapse,c_prime,sigma,-0.03337,0.04471
d_collapse,c_prime,entry_threshold,0.03095,0.05941
d_collapse,gamma,kappa,-0.04168,0.04011
d_collapse,gamma,sigma,0.00029,0.03978
d_collapse,gamma,entry_threshold,0.05769,0.05382
d_collapse,kappa,sigma,-0.11639,0.04253
d_collapse,kappa,entry_threshold,-0.04609,0.05361
d_collapse,sigma,entry_threshold,-0.0512,0.04743
d_recovery,nu,G,0.05104,0.04817
d_recovery,nu,q,0.062,0.04825
d_recovery,nu,log10_mu,0.15173,0.06226
d_recovery,nu,beta_trade_off,0.13595,0.05946
d_recovery,nu,h_mean,0.2212,0.06968
d_recovery,nu,r_mean,0.19158,0.06612
d_recovery,nu,C_diag_mean,0.23471,0.07393
d_recovery,nu,C_offdiag_mean,0.25062,0.07506
d_recovery,nu,s,0.31442,0.08102
d_recovery,nu,c,0.3307,0.08258
d_recovery,nu,c_prime,0.3846,0.08896
d_recovery,nu,gamma,0.37319,0.08594
d_recovery,nu,kappa,0.47491,0.10593
d_recovery,nu,sigma,0.52521,0.10536
d_recovery,nu,entry_threshold,0.60622,0.1129
d_recovery,G,q,-0.00623,0.04075
d_recovery,G,log10_mu,0.09676,0.05158
d_recovery,G,beta_trade_off,0.07756,0.04644
d_recovery,G,h_mean,0.14178,0.06071
d_recovery,G,r_mean,0.12885,0.05304
d_recovery,G,C_diag_mean,0.1847,0.06734
d_recovery,G,C_offdiag_mean,0.17489,0.06272
d_recovery,G,s,0.22073,0.0677
d_recovery,G,c,0.24579,0.07231
d_recovery,G,c_prime,0.32773,0.07887
d_recovery,G,gamma,0.30441,0.07507
d_recovery,G,kappa,0.38852,0.08809
d_recovery,G,sigma,0.41912,0.08482
d_recovery,G,entry_threshold,0.49497,0.09367
d_recovery,q,log10_mu,0.04845,0.04215
d_recovery,q,beta_trade_off,0.06189,0.04222
d_recovery,q,h_mean,0.11076,0.05499
d_recovery,q,r_mean,0.11077,0.04582
d_recovery,q,C_diag_mean,0.17864,0.05885
d_recovery,q,C_offdiag_mean,0.16498,0.05686
d_recovery,q,s,0.20135,0.06155
d_recovery,q,c,0.2258,0.06605
d_recovery,q,c_prime,0.30654,0.0788
d_recovery,q,gamma,0.29362,0.07463
d_recovery,q,kappa,0.31661,0.08124
