output,parameter,S1,S1_conf,ST,ST_conf
hysteresis_width,G,C_diag_mean,0.05257,0.03855
hysteresis_width,G,C_offdiag_mean,0.02943,0.02506
hysteresis_width,q,log10_mu,0.04105,0.03149
hysteresis_width,q,beta_trade_off,0.04687,0.03318
hysteresis_width,q,h_mean,0.14075,0.05947
hysteresis_width,q,r_mean,0.04753,0.03204
hysteresis_width,q,C_diag_mean,0.06202,0.04006
hysteresis_width,q,C_offdiag_mean,0.04087,0.03086
hysteresis_width,log10_mu,beta_trade_off,0.03648,0.02602
hysteresis_width,log10_mu,h_mean,0.09549,0.04879
hysteresis_width,log10_mu,r_mean,0.03987,0.02793
hysteresis_width,log10_mu,C_diag_mean,0.04242,0.03659
hysteresis_width,log10_mu,C_offdiag_mean,0.01637,0.02455
hysteresis_width,beta_trade_off,h_mean,0.09836,0.05911
hysteresis_width,beta_trade_off,r_mean,0.03616,0.03406
hysteresis_width,beta_trade_off,C_diag_mean,0.0345,0.03558
hysteresis_width,beta_trade_off,C_offdiag_mean,0.01544,0.02677
hysteresis_width,h_mean,r_mean,0.03501,0.06108
hysteresis_width,h_mean,C_diag_mean,0.09882,0.07248
hysteresis_width,h_mean,C_offdiag_mean,0.0315,0.05921
hysteresis_width,r_mean,C_diag_mean,0.03112,0.02228
hysteresis_width,r_mean,C_offdiag_mean,0.00303,0.01908
hysteresis_width,C_diag_mean,C_offdiag_mean,-0.01991,0.03691
