country_idx,country_code,country_name,best_loss,nfev,nit,message,s_pi,G,nu,h_C,entry_threshold,nrmse_C,traj_corr_C,rank_products,nrmse_P,loss_total
0,ARG,Argentina,0.7668586303495555,1360,33,Optimization terminated successfully.,0.784008213873296,1.9737731313423672,0.9947146422917204,0.14529076503596583,32.41668504991431,1.1698729204406113,1.1861538461538461,0.21601162728789958,0.32270669785636996,0.7668586303495555
1,AUS,Australia,0.3114496792340916,2320,57,Optimization terminated successfully.,0.9957566090932816,1.9929626143883745,0.9955804723122319,0.10973883699362608,43.85853255778231,0.2498942069192041,0.3630769230769231,0.23682567502033225,0.40423315913065294,0.3114496792340916
2,BRA,Brazil,0.45662966593710175,1440,35,Optimization terminated successfully.,0.9982576036736304,1.793397446490849,0.43259017788177506,0.08986534425861836,3.274080488695958,0.45605799430350835,0.5938461538461538,0.28008141776826895,0.47220483382655676,0.45662966593710175
3,CAN,Canada,0.27222679912627423,2520,62,Optimization terminated successfully.,0.0008268841408434757,0.8524498413991158,0.004694842541188127,4.912314900559327,4.79329707751376,0.3342835534976402,0.2053846153846154,0.1953181932748532,0.3910548890888314,0.27222679912627423
4,CHN,China,0.15095344212269246,1400,34,Optimization terminated successfully.,0.000311732765633177,0.23169288205905936,0.0074024180956897,0.6155076978459024,23.50127582825835,0.20151665806464608,0.0038461538461538325,0.18861610689370825,0.26133202364628866,0.15095344212269246
5,DEU,Germany,0.15358070631351003,1120,27,Optimization terminated successfully.,0.04415103713542114,0.0857090593489932,0.0244121580942957,4.204854280654345,15.38274978097572,0.08892338465128746,0.1992307692307692,0.18335310750944178,0.12871176252048475,0.15358070631351003
6,FRA,France,0.23620085243566702,1240,30,Optimization terminated successfully.,0.004096175524421541,0.043739115681822316,0.0011801994742318134,4.949073845457905,27.67007530185452,0.3017301287161289,0.09999999999999998,0.18398917465870582,0.4238551329597917,0.23620085243566702
7,GBR,United Kingdom,0.28864774717389696,2240,55,Optimization terminated successfully.,0.004232608776645025,0.03687975520643427,0.0812529552592755,4.958905532022699,21.907320068595382,0.45864204931539615,0.2546153846153846,0.2152251824335303,0.21898161926024998,0.28864774717389696
8,IDN,Indonesia,0.2544586232510436,4080,101,Optimization terminated successfully.,0.9986453504834831,1.978880094972544,0.7974329259709387,0.08086360371405821,5.343613422378077,0.04387455606532094,0.3092307692307692,0.2727229043273986,0.412700136918165,0.2544586232510436
9,IND,India,0.1952228706763044,1280,31,Optimization terminated successfully.,0.9923336179179489,0.13473504099719014,0.9955183174326547,0.4225107266007976,28.627095499743717,0.1588231989027266,0.09153846153846157,0.23498513624947406,0.34654624213357876,0.1952228706763044
10,ITA,Italy,0.3480350596480196,1360,33,Optimization terminated successfully.,0.0026226311253697288,0.03187774721610481,0.4360087639122149,0.3639656935558997,32.60080690421661,0.8311597795514576,0.216923076923077,0.1811656495645715,0.14938389646044617,0.3480350596480196
11,JPN,Japan,0.1346770066198515,800,19,Optimization terminated successfully.,0.06212928869343405,0.014609282850315819,0.18219743891081497,1.2241913466914291,36.79531078274721,0.10639507892240285,0.07153846153846155,0.17741377156583596,0.21131627768126665,0.1346770066198515
12,KOR,South Korea,6.218574332585182,2080,51,Optimization terminated successfully.,0.00010008187085783216,0.4671080448064574,0.09106960036962702,0.050112535112730505,43.51410509992331,22.47535528242425,1.5915384615384616,0.1944980824570934,0.3682472645165362,6.218574332585182
13,MEX,Mexico,3.2647164078818713,2080,51,Optimization terminated successfully.,0.9836721682508376,0.2090558898996947,0.673511655992542,0.05074643189399852,2.474193083178136,11.12684296711629,1.1815384615384614,0.23355593672574806,0.35077571729911766,3.2647164078818713
14,RUS,Russia,8.764507736380816,1440,35,Optimization terminated successfully.,0.2053068302416969,0.29043274938711205,0.8034625743679701,0.05002312531161213,34.1929798972429,33.71324496698243,0.7679430397679334,0.22128772122495272,0.25245826199294336,8.764507736380816
15,SAU,Saudi Arabia,3.3401849710418907,2240,55,Optimization terminated successfully.,0.3291750895273343,1.9673910641492196,0.9999989546507646,0.05011446599006941,4.859503713299521,11.380468520502873,1.1815384615384614,0.3047467016839348,0.3220981351682497,3.3401849710418907
16,TUR,Turkiye,0.2808373080837927,2480,61,Optimization terminated successfully.,0.997791082231804,0.02379576974495423,0.9355583680770916,0.6967057903354985,1.024248886094469,0.23462392581200917,0.3076923076923077,0.2149660159700992,0.3806606516528662,0.2808373080837927
17,USA,United States of America,0.1154525157272485,960,23,Optimization terminated successfully.,0.09055887286995473,0.5506326304581062,0.00034002668765176214,1.9214768528524386,35.99280755376103,0.027130922043416616,0.08615384615384614,0.20539047458846774,0.15738006361561785,0.1154525157272485
18,ZAF,South Africa,0.32433626390171977,2200,54,Optimization terminated successfully.,0.9935899540307699,1.9606468871252951,0.995564720564801,0.33125165473256035,2.874094458234911,0.18270274814331267,0.07442944007892827,0.47491067193660597,0.6880203842903083,0.32433626390171977
