country_idx,country_code,country_name,best_loss,nfev,nit,message,entry_enabled,baseline_C_loss,tuned_s_pi,tuned_beta_trade_off,tuned_G,tuned_nu,s_pi,beta_trade_off,G,nu,h_C,entry_threshold,kappa,sigma,h_P,s_pi_P,r_C_target,a_P,b_P,final_C_loss,final_alpha_loss,final_C_loss_baseline_alpha_frozen,final_C_loss_ratio_vs_baseline,final_nrmse_C,final_traj_corr_C,final_nrmse_P,final_rank_products,final_entry_enabled,final_traj_corr_alpha
2,BRA,Brazil,758.2480002785594,1200,49,Optimization terminated successfully.,False,0.0750355659278102,0.1147164025940382,0.43400298992108843,1.9988351961056874,0.9960049811835349,0.1147164025940382,0.43400298992108843,1.9988351961056874,0.9960049811835349,1.30001066793039,36.20389103214467,0.04874469917784849,0.8782865245343645,3.512202781908254,12.791445437111566,0.5844873170920764,0.04163558061912509,0.5915791056744292,0.28500224425204546,2.971870584656768,0.0750355659278102,3.7982287562972314,0.10214173936351977,0.4346153846153846,5.479266229349762,0.46447493996377365,0.0,
0,ARG,Argentina,1.003828337073323,1512,62,Optimization terminated successfully.,False,0.16865222496277438,0.04280882520859719,0.2581120908014654,0.2855509227153311,0.1375124426524259,0.04280882520859719,0.2581120908014654,0.2855509227153311,0.1375124426524259,3.424395231184784,11.758537722425139,0.07235664777831292,1.8826484229093525,2.760540933612195,10.059373924044877,0.37780647077283813,0.2118496193094359,0.6150797999949362,0.17781788394435033,1.0019391265308117,0.16865222496277438,1.0543465049666498,0.05950982756864161,0.2746153846153847,4.019794730087335,0.5524029666521331,0.0,0.8093954254900293
1,AUS,Australia,74.13303734202468,2256,93,Optimization terminated successfully.,False,0.05613671701276525,0.7613358310297875,0.8396008770528189,0.8039508891789278,0.958762548414658,0.7613358310297875,0.8396008770528189,0.8039508891789278,0.958762548414658,0.7297733672543427,21.692072384362287,0.0048529846139518246,3.9779892740208878,4.686921142755472,17.873921082513924,0.3756454822751252,-0.12867706499847997,0.7657741632559648,0.10682465732889238,1.3828195122107714,0.05613671701276525,1.902937382401627,0.06345650346591461,0.14230769230769236,5.8488733517214,0.5652664917917928,0.0,1.2882473278568378
3,CAN,Canada,129.78153078355706,1488,61,Optimization terminated successfully.,False,0.15020069640900746,0.6924527550409705,0.9999451819789382,0.03554818921612224,0.9999410092618057,0.6924527550409705,0.9999451819789382,0.03554818921612224,0.9999410092618057,0.33711595718686027,0.4373371587966979,0.11857666638394451,2.668136137234719,4.65779330910744,35.85496973284184,5.3142606281505,0.27323520116148736,0.3528193751480106,0.3278689622379814,1.4415318720953065,0.15020069640900746,2.182872450505624,0.505777181041668,0.18230769230769228,7.314812502857156,0.44050285092380753,0.0,1.2244979908692184
4,CHN,China,1.1629808710652192,1488,61,Optimization terminated successfully.,False,0.09834763890104693,0.10605391152751463,0.42559445335208435,1.8484531184796784,0.6000800729048299,0.10605391152751463,0.42559445335208435,1.8484531184796784,0.6000800729048299,0.3845212187150202,26.790787274742947,0.09976052427230134,1.9165602464442621,0.47606305525805936,25.086117952459215,2.2858803067982505,-0.11811521684055115,0.8315028164939977,0.10590517705163931,1.0909147130505696,0.09834763890104693,1.0768451407175768,0.23158415413184802,0.003076923076923088,5.895158917773818,0.38731416791917944,0.0,0.7693543432839954
5,DEU,Germany,1.4908498415909819,384,15,Optimization terminated successfully.,False,0.11420102647332134,0.11265467269695317,0.008846880531156398,1.4707896893794856,0.6400301138807236,0.11265467269695317,0.008846880531156398,1.4707896893794856,0.6400301138807236,2.0784456073984567,32.952868944292746,0.12532424307168447,3.1115303844114726,3.3576645120246176,21.31821680076155,6.581087389537013,0.30368360875889855,0.7115947579022954,0.12718238811242694,1.085448348761031,0.11420102647332134,1.1136711467487395,0.04946513597633318,0.1907692307692309,5.251582062844737,0.3855415362553367,0.0,0.9187984358722223
6,FRA,France,187.96267379417293,264,10,Optimization terminated successfully.,False,0.08857842385389518,0.12116995138401875,0.14928301559639942,1.3504589323129337,0.34505903136527394,0.12116995138401875,0.14928301559639942,1.3504589323129337,0.34505903136527394,1.5255956452146067,9.95095290746317,0.11330329106210948,3.954007980088836,2.6476373493305725,15.237628378464661,3.23032821579934,-0.17139741020358978,0.6572407085379206,0.21404578509220723,1.242716614021393,0.08857842385389518,2.416455111520871,0.30360601815362287,0.14076923076923076,6.861890159873709,0.3937567371385943,0.0,0.8991230736618125
7,GBR,United Kingdom,1.225144350125088,576,23,Optimization terminated successfully.,False,0.3422785741714567,0.0993035040416968,0.543360802640805,0.2662604790780942,0.5268706287037384,0.0993035040416968,0.543360802640805,0.2662604790780942,0.5268706287037384,2.1867386718802373,32.43818253476411,0.14865335731291224,1.6822395304922044,0.185936882822602,45.74399850675837,2.80404464968389,0.26714766941687107,0.7572615477785907,0.3570781150287444,1.225144350125088,0.3422785741714567,1.0432382917718777,0.5885496573288338,0.1676923076923077,6.29633759689159,0.5312086041525302,0.0,0.8247657208991606
8,IDN,Indonesia,2.026587247356711,1344,55,Optimization terminated successfully.,False,0.1852461088425335,0.03386142563815214,0.060299437800782896,1.9687535515105543,0.95472988104256,0.03386142563815214,0.060299437800782896,1.9687535515105543,0.95472988104256,0.2400345870073073,37.953594169109856,0.05776315879409671,1.7041925221984218,1.9128752551956558,36.878665804265715,0.12189675320422477,-0.03685680198039987,0.7121399322979477,0.21182923741436605,1.152330756426399,0.1852461088425335,1.1435016839918037,0.045774373741326,0.34769230769230786,5.511497761074474,0.4678045803747435,0.0,0.9181967253289498
9,IND,India,4353.7217912465985,552,22,Optimization terminated successfully.,False,0.038295868084865285,0.9995241399096653,0.0032381496493803508,1.9909947431223085,0.7988972498925457,0.9995241399096653,0.0032381496493803508,1.9909947431223085,0.7988972498925457,4.14352396933208,37.57896963462993,0.0700802429983715,3.1569631002210246,3.551308883516433,12.209881216788423,0.2561730327949179,-0.4102327603434346,0.48660881567410624,0.2928606869526875,1.2611182425114735,0.038295868084865285,7.647318146795777,0.6254169111769124,0.020769230769230762,6.435378941491947,0.5109236104935557,0.0,0.9052963577887528
10,ITA,Italy,11766.583588686257,672,27,Optimization terminated successfully.,False,0.17444286202604337,0.2506054336289315,0.43872069385717544,1.252581259527435,0.9620013901767241,0.2506054336289315,0.43872069385717544,1.252581259527435,0.9620013901767241,1.2391806804524408,40.78168097214445,0.021250548828529253,3.5755892421811897,3.2381985009106096,0.4752321330263207,2.5297645630721726,0.2758131331624062,0.9048035533741337,2.0753300882908103,1.049640875412925,0.17444286202604337,11.896904603531297,4.42663096543257,0.15153846153846162,4.509935660272376,0.3867525170762986,0.0,1.0131776271188455
11,JPN,Japan,118.96764866736625,336,13,Optimization terminated successfully.,False,0.027918214698730806,0.17890168633314119,0.36070692039002095,0.8512890345920429,0.39930141352153736,0.17890168633314119,0.36070692039002095,0.8512890345920429,0.39930141352153736,4.342400175002528,41.972363108940556,0.1773526773061451,3.268453557955062,4.828255684017474,37.92456089526078,8.300250580519174,0.34391134781755506,0.6467717586540731,0.059650619836425514,0.8933155040735337,0.027918214698730806,2.136620141370906,0.08836889878180036,0.03615384615384609,3.6362781325151547,0.3801408786373461,0.0,0.8490431287583629
12,KOR,South Korea,18.621915328002476,1632,67,Optimization terminated successfully.,False,0.8667537096112499,0.9310078873354543,0.9983466110690926,1.3888605383277233,0.8977838221205406,0.9310078873354543,0.9983466110690926,1.3888605383277233,0.8977838221205406,0.3213332074899222,45.05183981329746,0.052380844074068726,3.6297616822692826,0.27316015455845566,3.5798874665160447,4.973083817092569,0.4455924813790315,0.3339319856969775,1.2736315495960098,1.0299906537337593,0.8667537096112499,1.4694272842134704,1.0806342127774575,1.4315384615384614,4.4309993936715175,0.4230568487446992,0.0,0.9384057249856456
13,MEX,Mexico,1.0342532930231112,1200,49,Optimization terminated successfully.,False,0.25462411222691833,0.09529789986783314,0.6644242821819903,1.980460027879217,0.9404985494766236,0.09529789986783314,0.6644242821819903,1.980460027879217,0.9404985494766236,0.5511418081285704,37.40064667737104,0.024754911222478443,1.4068783164184226,0.5220281190668801,15.998219770961068,1.2131117064455053,0.3711003187554752,0.9425493230449543,0.2635835441633596,1.0342532930231112,0.25462411222691833,1.0351868951376322,0.3431771066878076,0.19846153846153847,5.231164624920479,0.37335288840629366,0.0,0.8111509658197912
14,RUS,Russia,1.0998041263169331,480,19,Optimization terminated successfully.,False,0.32729568953490695,0.08347314431398832,0.9671172389611747,0.4790278373523913,0.4833190790239546,0.08347314431398832,0.9671172389611747,0.4790278373523913,0.4833190790239546,1.9533691319448963,0.1550335602437194,0.07905768905948765,1.7884920120766257,3.7278931491064435,17.09927489650365,0.7299872324129302,0.11862948374006566,0.36391821333378926,0.3427436227995963,1.0998041263169331,0.32729568953490695,1.047198706731033,0.7169772798071647,0.03655244888431308,5.304861987370145,0.49318773139096495,0.0,0.8068101547110911
