product,r_k,se_r,a_k,se_a,b_k,se_b,eta_k,se_eta,r2,r2_on_g
1001,1.2175254931973534,2.315770457836101,-0.7701029829923082,2.1270267101348828,-1.5603062360453548,1.1860243550081406,,,0.496787854722765,0.4834464305978101
1005,0.42317801596028815,1.5425214571334929,-1.5840787561909166,3.0547896205644105,-1.1390377980747242,0.8937772308391447,,,0.5047955910964679,0.48456559585957304
1201,0.16040322749046612,0.9872703806961192,-1.7851707866015198,1.6059774954511385,-1.1484175710462403,0.7859633685243598,,,0.5063673834444848,0.48243207111837905
2204,0.4470862366699712,1.1466057308189657,-13.65805475237136,8.277587865480218,-0.7926015493280217,0.538209783239011,,,0.4951043276753464,0.4781831355813063
2701,1.5494320556431491,2.2190877220755905,2.460898068899911,2.0741293756124044,-1.9562060346624568,1.2220469062625152,,,0.48403966680451604,0.47478250120107013
2709,10.89667081577496,11.486197327120884,1.3156220234078713,2.3577877310178113,-9.657260800547526,7.369153646404393,,,0.4798391123888349,0.4776631711716779
2710,5.3396762184034765,6.387583268038828,1.3412483183424178,1.5665953151138268,-5.389877891207157,4.157895058107164,,,0.488456120292287,0.4831221265006195
2711,2.273876912544387,3.0809692546272673,-3.2675223020449815,2.493783865652156,-0.7133154314013616,0.8120234604459259,,,0.2599790815763464,0.24823283854870626
2902,0.07925724516005307,1.2963819667114136,-5.597884239845953,3.8680010608192767,-0.27106126608650744,0.5402515644184169,,,0.2957665177218324,0.25859968118592636
2933,-0.06697195069490106,1.1733395377874518,-6.706110570482053,6.906071516329216,-0.5986589198316533,0.40131096057617816,,,0.5104430198962322,0.48062331577704465
3004,2.1905499473575305,3.4170616257451307,-2.773385217008959,1.3269334427671602,-1.124725001511049,1.6729025627904803,,,0.39426804291750384,0.381439732999159
3823,-0.1698997732662163,1.088625771472136,-5.494748339190461,5.6711748418563825,-0.5492411416704349,0.3725895723017914,,,0.5151133570232476,0.48253522493286194
3901,0.27482928398491824,1.4733652261273882,-4.6494290636406665,6.294002885995931,-0.7740714208593851,0.5508127463509569,,,0.5070442524551373,0.484421928016985
