country,name,r_i,se_r,eta_i,se_eta,r2,r2_on_g
ARG,Argentina,0.20547515888574894,0.20552100077302438,-0.18482413102234532,0.47750252477457283,0.43212053842237597,0.43212053842237597
AUS,Australia,0.6294887739155743,0.626898857505328,-0.9548742316662283,0.8806381751333332,0.48724685395150125,0.48724685395150125
BRA,Brazil,0.4464070528082102,0.4435939946593883,0.05262980249864064,0.6973817620081267,0.48785904578775485,0.48785904578775485
CAN,Canada,3.538372562541247,3.4905789456507628,-6.891050525360214,5.340941152054537,0.48597061704241873,0.48597061704241873
CHN,China,1.7122748107010464,1.6177576392794613,0.5229640362767128,2.173560490594126,0.48477073132409154,0.48477073132409154
DEU,Germany,7.228279249107591,7.079091761498759,-22.186187522884282,15.169517174023493,0.4857989646056735,0.4857989646056735
FRA,France,3.8181349778327713,3.763346689949857,-5.184823739845615,5.671004458626402,0.4858971634481223,0.4858971634481223
GBR,United Kingdom,3.4448763372659226,3.401994497411033,-9.128065402096201,8.695387435376878,0.4859522072511784,0.4859522072511784
IDN,Indonesia,0.5728145412551927,0.576250149995237,-0.3105606720198431,0.5561553646669167,0.4876259576516099,0.4876259576516099
IND,India,0.32999570001583844,0.3006126219103289,0.2803679623186092,0.7805497116460173,0.48628103525686717,0.48628103525686717
ITA,Italy,3.067776772422791,3.026560547445608,1.00352999097788,8.226949173021936,0.48590127088366897,0.48590127088366897
JPN,Japan,8.673589095663978,8.507965601867708,-27.851687611000596,16.911112465130525,0.48584524019464004,0.48584524019464004
KOR,South Korea,2.146417921083123,2.110237769663927,0.11593943383677378,3.9481425658255462,0.485832607116913,0.485832607116913
MEX,Mexico,1.43748793760141,1.3858640352347726,-1.7621919590161068,2.1676526750061758,0.48547914156752503,0.48547914156752503
RUS,Russia,1.7091145179735339,1.193037050189721,1.0530978494473753,10.724156851592118,0.3435786463791064,0.3435786463791064
SAU,Saudi Arabia,1.0622653149214856,1.0289760306340223,-0.9810421210623639,1.375408625017035,0.48589749681629035,0.48589749681629035
TUR,Turkiye,0.16764597085966876,0.140356884244869,-0.21739994362945989,0.4626345196939586,0.4770779546689441,0.4770779546689441
USA,United States of America,9.919859688601711,9.69753308376882,-30.027166190703564,22.95244475601015,0.4856839536893717,0.4856839536893717
ZAF,South Africa,0.3503700441341351,0.344414428014507,-3.1897438576237467,8.210118997554195,0.25753323672916417,0.25753323672916417
