product,r_k,se_r,a_k,se_a,b_k,se_b,eta_k,se_eta,r2,r2_on_g
1001,2.3015411664324184,2.286193929119252,-0.8142780206216901,1.2157009923058173,-1.5066458425815081,1.2102065190630673,,,0.4836704085152955,0.4836704085152955
1005,1.5201300406507918,1.5113813242763592,-1.3964499483646229,1.774304361203125,-1.1045164602590551,0.9056169280363673,,,0.48483772428203287,0.48483772428203287
1201,0.9830621383761574,0.9641309978505942,-1.8084707155265318,1.5304584685417997,-1.0837385290067814,0.7999760487285552,,,0.48203019469211206,0.48203019469211206
2204,1.1202239268986443,1.1286002068420515,-12.903714320279681,8.448436621298622,-0.7595169458701937,0.5430698742014932,,,0.47812009371224506,0.47812009371224506
2701,2.260977873535194,2.198436280311199,2.597276462076209,1.9939772710603074,-1.9288836287943603,1.2291729090638264,,,0.4741462276886337,0.4741462276886337
2709,11.769866528047377,11.462009789113614,1.3541207663858696,1.9597932360529475,-9.626806188370905,7.355760997320927,,,0.4776156488785397,0.4776156488785397
2710,6.539808529669547,6.354365237600982,1.3881018058177095,1.2781218390791587,-5.344118881587703,4.234683691973121,,,0.4832261296228817,0.4832261296228817
2711,3.149498224724296,3.0575275786783767,-3.209044185321515,2.2657121181367543,-0.70200126836561,0.8626485213424159,,,0.2555096981199825,0.2555096981199825
2902,1.2561889843322815,1.2643200730703537,-5.29959873110869,2.814559299846395,-0.2577413285553809,0.5571952071922215,,,0.2808594050237183,0.2808594050237183
2933,1.1516726266429838,1.139261377886739,-6.411754347959649,6.449702846416106,-0.5630849893567453,0.3997794239596287,,,0.48102964968001893,0.48102964968001893
3004,3.4730355080098705,3.3824851734058297,-2.754654098298115,1.0780655433826756,-1.0995980134884842,1.697787890177609,,,0.38663538287846355,0.38663538287846355
3823,1.0648605381473786,1.0544498044673092,-5.934966671763316,5.654743409739297,-0.5052830667840059,0.3799797283139287,,,0.48269438888802507,0.48269438888802507
3901,1.4450292014034503,1.4417265547607445,-5.320403117600823,5.738769872970478,-0.7257078744079527,0.5617854609500303,,,0.48458927915920846,0.48458927915920846
3907,1.5047011490989133,1.4960133118690924,0.852626437814774,3.9841051478508103,-0.833090364903722,0.6617687781514398,,,0.4843461952001059,0.4843461952001059
3920,1.6594164973960916,1.648895120948104,-6.594751118683182,3.8793761030719303,-0.931743781236472,0.7975643054917207,,,0.47998245291661745,0.47998245291661745
3923,1.11790135068279,1.102956031921848,-3.2815412549404677,3.199122359637477,-0.5367554021328376,0.43206702606156305,,,0.4852087425943895,0.4852087425943895
3926,1.748963308135029,1.7124792053445559,-8.137162292846556,3.910951479234431,-0.45111586066001647,0.5352222946657174,,,0.4301450782908772,0.4301450782908772
4011,2.2896596025333835,2.266235334592138,-1.6913872624471906,3.5791356416914097,-1.4279673328851845,1.1267820505715498,,,0.4815542035622653,0.4815542035622653
4104,1.1149406904872843,1.1596916198577312,-8.25040458999489,5.990671455992802,-0.804544132732743,0.5392031399667669,,,0.48009708714964294,0.48009708714964294
4202,1.2031264080303414,1.182414095985133,-1.838181872657869,1.6581845008871874,-0.8404512005545933,0.67785795628376,,,0.4847594432471086,0.4847594432471086
4407,1.9902321064820792,1.9953555284946909,-5.171223373477774,3.6618745879113006,-1.9477323481787914,1.501109232829067,,,0.46205323472337156,0.46205323472337156
4703,1.9845355524950703,1.9951340768216341,-5.960975731523786,4.2728636189624245,-1.137042391693193,0.825028720726111,,,0.47059593498152397,0.47059593498152397
4810,1.494372793706617,1.5189127866722552,-0.41036080620171866,1.679025091339128,-0.7820870402632715,0.6442365826510381,,,0.4842941908574374,0.4842941908574374
5407,1.62923767381415,1.6285020440279863,-0.8316389521851966,2.12360771736907,-1.0906972345256127,0.8680535691163527,,,0.4841163447174128,0.4841163447174128
6109,0.8009516671660248,0.7794377914114987,0.006606307588363672,1.806702684768191,-0.6392052845953546,0.507669487434935,,,0.4843364939703825,0.4843364939703825
6110,1.4209566943413459,1.4184086667320213,-6.565329180213675,5.717386282866538,-1.1263206537972832,0.8972288471694017,,,0.48308873223640914,0.48308873223640914
6203,1.5632585223417648,1.5646658868608978,-1.6706753688255884,2.3448813169211746,-1.0862424232614674,0.8632730214008366,,,0.48484209562839187,0.48484209562839187
6204,2.0223223818880474,2.0019849431100245,-2.4548048162621305,3.0833921118182497,-1.3770866340987777,1.1079572619540878,,,0.48460175938962446,0.48460175938962446
6403,2.2051007390878654,2.1980021220029906,-2.008193903864586,2.124335294950297,-1.857485416148443,1.472817537863537,,,0.4844041036393876,0.4844041036393876
7102,1.846557222067427,1.8452730085329663,-6.67356366922992,5.747715184942504,-0.5891984243535977,0.5606618894169829,,,0.289444751666478,0.289444751666478
7108,2.8162007650811436,2.7293651997788198,0.06045349726819341,0.746094159560416,-1.7419490665833848,1.2539592664771153,,,0.4789157049019216,0.4789157049019216
7110,0.5138655738102801,0.47236261758168396,-0.7980457435106215,0.9403523382943287,-0.33320453673998196,0.3414211764814306,,,0.3328324426888931,0.3328324426888931
7113,1.4581154435821335,1.4187791836102892,-0.7600272248363527,1.2261947462292997,-1.5735153055485536,1.2248819731353846,,,0.48113785733822134,0.48113785733822134
7208,2.093330532974227,2.0664905623864165,-4.509203434128677,3.604824236521673,-1.2394912801487872,0.8579843329484278,,,0.4696896385566488,0.4696896385566488
7210,1.5663610331082456,1.5607361894729948,-5.283460668564449,5.17596994732109,-0.8444540508702125,0.5961291068283633,,,0.47685124144949576,0.47685124144949576
7326,0.9874480149938304,0.9711934021050184,-4.044811324806835,4.492211109892409,-0.4542094550392751,0.32763662327015586,,,0.4815281764270922,0.4815281764270922
7601,2.256461699339405,2.254267426228483,-11.970979431213662,8.786731368532438,-0.7690066456952904,0.6668179158721668,,,0.38435258002863804,0.38435258002863804
7606,1.2070561203688517,1.2093478453410982,-3.9489921509388273,4.4338271612811235,-0.6844802920355234,0.5478040141793751,,,0.4849700408505334,0.4849700408505334
8407,2.679428178583691,2.6645136624933357,6.963136907114568,5.8423163887558935,-1.7810699918516057,1.405274274985347,,,0.48164614144146967,0.48164614144146967
8408,1.511637658387929,1.5117600416698773,-0.14651477867327714,3.119393117999688,-0.8206104515577207,0.6505167855768704,,,0.4848085428928943,0.4848085428928943
8409,2.598277928957494,2.574270404936337,16.24973357548618,13.12560285970333,-1.8236152738016482,1.3854648940081122,,,0.4789073893534055,0.4789073893534055
8411,3.566502611243579,3.4960963251831085,3.422059045669144,3.3862030670003107,-3.201366979545116,2.555945658650365,,,0.4827411919718688,0.4827411919718688
8413,2.0801697638934336,2.0564666855051814,-22.211691564726582,13.269716786669521,-0.5701243662400095,0.43372676445225916,,,0.46755452493292926,0.46755452493292926
8414,2.30461777955217,2.2731932960799264,-22.2349078582304,15.508345806115164,-0.4866826426283925,0.3529757668307252,,,0.46632317573377835,0.46632317573377835
8415,1.0698478262991475,1.0520071349036924,-15.113318397211973,8.34546078144938,-0.2468369309847533,0.3027293743901594,,,0.4479765115453317,0.4479765115453317
8418,1.3549364324522066,1.3468881004565347,-4.607287588742074,3.685873114079056,-0.7270744782664789,0.6222678097474136,,,0.4843177014417417,0.4843177014417417
8419,1.4320817475476189,1.4225397914909974,0.2928760314732768,7.034459712842234,-0.8343630181319839,0.4934647824889932,,,0.4697143791856011,0.4697143791856011
8421,1.5361920252638777,1.5101246772754087,-1.0351374643689368,2.3809963623827257,-0.841254511396551,0.6591500845820458,,,0.48386508889094204,0.48386508889094204
8422,1.3023858042397656,1.3057887336873604,3.655971147615287,4.2504214756219865,-1.7621360009782654,1.3935339281607757,,,0.4807231407378232,0.4807231407378232
8429,1.6705198950783033,1.6554258051378772,-3.253916469727445,2.8491385349598746,-0.89716237858484,0.758506603795433,,,0.48208312573587564,0.48208312573587564
8431,2.142700984078964,2.1234147676202286,-3.0529166808963746,4.172591691504584,-1.5914984164257355,1.0091265321405056,,,0.4733299286942847,0.4733299286942847
8443,1.186531162637864,1.235091325116945,0.565916060195106,0.8769227127397272,-0.8024585214548594,0.5879569632543945,,,0.48210525398759585,0.48210525398759585
8471,11.80852533533913,11.538893225775698,-1.8939338489411381,5.941329650911268,-6.984736777527616,5.7963717832340365,,,0.4829112020525588,0.4829112020525588
8473,8.032604936386868,7.870175554850734,-1.3184973271998792,1.9453695029939237,-4.594732706658624,3.611721819670108,,,0.4833606679692891,0.4833606679692891
8477,1.3535326457675134,1.3628612091128154,10.86129825291163,8.755824126901516,-0.8356319477759251,0.6562727014475882,,,0.48096520335051196,0.48096520335051196
8479,4.087538060135698,4.012084906081626,7.885852113344118,5.884247713399098,-2.733814059005738,1.6466577278029597,,,0.4699913427653398,0.4699913427653398
8481,2.2012598006467714,2.1626457245435895,-8.925829773777844,7.784664658031065,-1.115548991312191,0.7464592015804341,,,0.4802528669161855,0.4802528669161855
8482,1.277325772276568,1.2915241342858939,9.37886890107061,7.063736751886663,-0.8042868144928741,0.519918611516862,,,0.47563529483792055,0.47563529483792055
8483,1.6365316073871956,1.622176124725104,-17.289711314065087,13.705494066783514,-0.7556322465886534,0.39673442239260454,,,0.47836977209524867,0.47836977209524867
8501,1.5728656089715998,1.5579423147331999,-3.515634623596549,6.030327333733945,-0.7549892093093343,0.6012393024499376,,,0.4842835827656441,0.4842835827656441
8504,2.08127151096308,2.0342835503518195,-3.2782048749882016,2.5160887298602,-2.096287451407754,1.7626700167264395,,,0.4828139124223625,0.4828139124223625
8507,0.8954304775362227,0.8551330867533031,-2.3179815219122086,1.7990489844579354,-0.4226530140367357,0.39495555750434763,,,0.417563963476807,0.417563963476807
8516,1.234374835390897,1.2239848413049255,-3.0386415166323535,3.846371315820987,-0.6190356018555176,0.48572340570088385,,,0.4837521843425673,0.4837521843425673
8517,3.8336285869516993,3.7739636802885794,1.4347529474682603,2.6515099238615334,-2.2388556820151946,1.7956512705445253,,,0.48505282187854204,0.48505282187854204
8518,0.8135732270079025,0.818895913691306,-3.6984772823043635,4.389246499837104,-0.46991804009657007,0.3653220347642458,,,0.4828895854773836,0.4828895854773836
8521,1.0975567404438218,1.134264360819404,-0.3896259329090957,1.1870390054968227,-0.8835558291153909,0.5806123202491031,,,0.47843653811380327,0.47843653811380327
8524,1.1710352603092569,1.1823228690432135,1.4880162822500784,2.0857325246939564,-0.7291681442397584,0.5636450513206448,,,0.4802059827280436,0.4802059827280436
8525,2.861867474907773,2.7827644052534684,-1.4553545803348107,1.0635723347788133,-1.3580267010130442,1.1195558427974353,,,0.4827011921260833,0.4827011921260833
8527,1.6911457499687303,1.7273863403607082,-0.9740158843000563,1.4204600781818846,-1.2163223472117495,0.9467084763269691,,,0.4858560260228888,0.4858560260228888
8528,1.9518044525952318,1.9293906407428265,-0.5256023904626473,1.8301298972580555,-1.0733713838103516,0.8551294153358293,,,0.48301893636046267,0.48301893636046267
8529,2.073547539381683,2.0411796015436225,-4.117962119231979,2.5136265149446726,-0.8695521934454709,0.7351260264846969,,,0.47299525276129983,0.47299525276129983
8532,1.14919239453885,1.159069647502426,10.105148379483063,8.313637220075842,-0.8198304757266911,0.5775831112044919,,,0.47694155379149594,0.47694155379149594
8534,0.9564167228584881,0.9488088224170459,-13.9473558284624,7.502257985976563,-0.26048158777370695,0.2938065541470627,,,0.44136362119745265,0.44136362119745265
8536,3.266022774389829,3.2158450898416655,-12.016367557610424,8.309761996576023,-0.3598039233510837,0.8725853162427732,,,0.32325742557540027,0.32325742557540027
8538,0.9754652645552236,0.9757627985776413,-16.893515405123576,13.966439902206984,-0.1866020838703053,0.14317277807029233,,,0.4236480979821272,0.4236480979821272
8540,1.9066519551041687,1.9763689555278203,1.782390848149553,1.682411378444609,-1.4157269015887557,1.098506781790297,,,0.48589091469745027,0.48589091469745027
8541,2.122177595591993,2.0878706172892203,-6.973276833046879,4.333000163825581,-0.6435199650776617,0.721021482835139,,,0.3911871883781639,0.3911871883781639
8542,15.501560558606556,15.127818783421727,-6.174413899476942,4.3385019501457345,-2.797263284564135,7.9208622034386025,,,0.22052842156108377,0.22052842156108377
8543,1.1553207585406626,1.13442097596595,-4.282593207290653,3.162160204210447,-0.18537557058497733,0.428464461151101,,,0.29030580392619587,0.29030580392619587
