output,parameter,S1,S1_conf,ST,ST_conf
avg_P,C_diag_mean,gamma,-0.00135,0.03855
avg_P,C_diag_mean,kappa,-0.00157,0.03861
avg_P,C_diag_mean,sigma,-0.00128,0.03816
avg_P,C_diag_mean,entry_threshold,-0.0016,0.03862
avg_P,C_offdiag_mean,s,0.07542,0.14494
avg_P,C_offdiag_mean,c,0.06959,0.14268
avg_P,C_offdiag_mean,c_prime,0.07272,0.13759
avg_P,C_offdiag_mean,gamma,0.07418,0.14459
avg_P,C_offdiag_mean,kappa,0.07338,0.14472
avg_P,C_offdiag_mean,sigma,0.07419,0.14518
avg_P,C_offdiag_mean,entry_threshold,0.0738,0.1447
avg_P,s,c,-0.002,0.00834
avg_P,s,c_prime,-0.0023,0.00813
avg_P,s,gamma,-0.00197,0.00812
avg_P,s,kappa,-0.00217,0.00828
avg_P,s,sigma,-0.00192,0.00833
avg_P,s,entry_threshold,-0.00217,0.00824
avg_P,c,c_prime,0.01048,0.01498
avg_P,c,gamma,0.00491,0.01477
avg_P,c,kappa,0.00474,0.01484
avg_P,c,sigma,0.0051,0.01488
avg_P,c,entry_threshold,0.00485,0.0148
avg_P,c_prime,gamma,0.00463,0.00943
avg_P,c_prime,kappa,0.00469,0.00944
avg_P,c_prime,sigma,0.00497,0.00941
avg_P,c_prime,entry_threshold,0.00468,0.00943
avg_P,gamma,kappa,0.00097,0.00105
avg_P,gamma,sigma,0.00102,0.0011
avg_P,gamma,entry_threshold,0.00097,0.00105
avg_P,kappa,sigma,-7e-05,0.0007
avg_P,kappa,entry_threshold,-0.0001,0.00069
avg_P,sigma,entry_threshold,0.00044,0.00226
avg_C,nu,G,0.0001,0.00098
avg_C,nu,q,0.0,0.00092
avg_C,nu,log10_mu,0.00011,0.00099
avg_C,nu,beta_trade_off,0.00016,0.00105
avg_C,nu,h_mean,-0.00055,0.00141
avg_C,nu,r_mean,0.0001,0.001
avg_C,nu,C_diag_mean,0.00054,0.0015
avg_C,nu,C_offdiag_mean,0.00016,0.00104
avg_C,nu,s,0.0001,0.001
avg_C,nu,c,8e-05,0.00097
avg_C,nu,c_prime,0.0001,0.00099
avg_C,nu,gamma,0.00016,0.001
avg_C,nu,kappa,0.0001,0.00098
avg_C,nu,sigma,0.0002,0.00107
avg_C,nu,entry_threshold,0.00011,0.00099
avg_C,G,q,6e-05,0.00011
avg_C,G,log10_mu,5e-05,0.00011
avg_C,G,beta_trade_off,6e-05,0.00011
avg_C,G,h_mean,0.0,0.00021
avg_C,G,r_mean,6e-05,0.00011
avg_C,G,C_diag_mean,5e-05,0.00011
avg_C,G,C_offdiag_mean,4e-05,0.0001
avg_C,G,s,6e-05,0.00011
avg_C,G,c,5e-05,0.0001
avg_C,G,c_prime,5e-05,0.0001
avg_C,G,gamma,5e-05,0.0001
avg_C,G,kappa,5e-05,0.00011
avg_C,G,sigma,6e-05,0.00011
avg_C,G,entry_threshold,5e-05,0.00011
avg_C,q,log10_mu,0.01025,0.01533
avg_C,q,beta_trade_off,0.01002,0.01561
avg_C,q,h_mean,0.00474,0.01419
avg_C,q,r_mean,0.01038,0.01536
avg_C,q,C_diag_mean,0.00557,0.00871
avg_C,q,C_offdiag_mean,0.01012,0.01598
avg_C,q,s,0.01015,0.01539
avg_C,q,c,0.01015,0.01526
avg_C,q,c_prime,0.0101,0.01534
avg_C,q,gamma,0.01022,0.01533
avg_C,q,kappa,0.01021,0.01537
avg_C,q,sigma,0.00976,0.01565
avg_C,q,entry_threshold,0.01025,0.01533
avg_C,log10_mu,beta_trade_off,-2e-05,0.00011
avg_C,log10_mu,h_mean,-5e-05,0.00012
avg_C,log10_mu,r_mean,-2e-05,0.00011
avg_C,log10_mu,C_diag_mean,0.0,0.0001
avg_C,log10_mu,C_offdiag_mean,-2e-05,0.0001
avg_C,log10_mu,s,-2e-05,0.0001
avg_C,log10_mu,c,-2e-05,0.0001
avg_C,log10_mu,c_prime,-2e-05,0.0001
avg_C,log10_mu,gamma,-2e-05,0.0001
avg_C,log10_mu,kappa,-2e-05,0.0001
avg_C,log10_mu,sigma,-2e-05,0.00011
avg_C,log10_mu,entry_threshold,-2e-05,0.0001
avg_C,beta_trade_off,h_mean,0.00168,0.00726
avg_C,beta_trade_off,r_mean,-0.00142,0.00308
avg_C,beta_trade_off,C_diag_mean,-0.00062,0.00269
avg_C,beta_trade_off,C_offdiag_mean,0.00099,0.00474
avg_C,beta_trade_off,s,-0.00145,0.00304
avg_C,beta_trade_off,c,-0.00151,0.00299
avg_C,beta_trade_off,c_prime,-0.00155,0.003
avg_C,beta_trade_off,gamma,-0.00161,0.003
avg_C,beta_trade_off,kappa,-0.00152,0.00301
avg_C,beta_trade_off,sigma,-0.0014,0.00308
avg_C,beta_trade_off,entry_threshold,-0.00155,0.00299
avg_C,h_mean,r_mean,-0.00246,0.05469
avg_C,h_mean,C_diag_mean,0.01551,0.06027
avg_C,h_mean,C_offdiag_mean,-0.00345,0.04276
avg_C,h_mean,s,-0.00195,0.05419
avg_C,h_mean,c,-0.00222,0.05455
avg_C,h_mean,c_prime,-0.00292,0.05458
avg_C,h_mean,gamma,-0.00328,0.05505
avg_C,h_mean,kappa,-0.00287,0.05485
avg_C,h_mean,sigma,-0.00304,0.05345
avg_C,h_mean,entry_threshold,-0.00251,0.05456
avg_C,r_mean,C_diag_mean,0.0008,0.00268
avg_C,r_mean,C_offdiag_mean,0.001,0.00503
avg_C,r_mean,s,0.00018,0.00215
avg_C,r_mean,c,0.00014,0.00216
avg_C,r_mean,c_prime,0.00017,0.00216
avg_C,r_mean,gamma,0.00011,0.0021
avg_C,r_mean,kappa,0.00017,0.00215
avg_C,r_mean,sigma,0.0004,0.0022
avg_C,r_mean,entry_threshold,0.00016,0.00215
avg_C,C_diag_mean,C_offdiag_mean,0.04234,0.07068
avg_C,C_diag_mean,s,0.02011,0.04488
avg_C,C_diag_mean,c,0.02025,0.04456
avg_C,C_diag_mean,c_prime,0.01971,0.04489
avg_C,C_diag_mean,gamma,0.02015,0.04462
avg_C,C_diag_mean,kappa,0.01997,0.04488
avg_C,C_diag_mean,sigma,0.02176,0.04457
avg_C,C_diag_mean,entry_threshold,0.02009,0.0448
avg_C,C_offdiag_mean,s,0.11867,0.20234
avg_C,C_offdiag_mean,c,0.11858,0.20181
avg_C,C_offdiag_mean,c_prime,0.11759,0.20055
avg_C,C_offdiag_mean,gamma,0.1186,0.20209
avg_C,C_offdiag_mean,kappa,0.11838,0.20222
avg_C,C_offdiag_mean,sigma,0.11866,0.20026
avg_C,C_offdiag_mean,entry_threshold,0.11855,0.20208
avg_C,s,c,0.00096,0.00204
avg_C,s,c_prime,0.00098,0.00203
avg_C,s,gamma,0.00101,0.00197
avg_C,s,kappa,0.00095,0.00205
avg_C,s,sigma,0.00092,0.00212
avg_C,s,entry_threshold,0.00098,0.00203
avg_C,c,c_prime,0.0026,0.00366
avg_C,c,gamma,0.00255,0.00368
avg_C,c,kappa,0.00257,0.00368
avg_C,c,sigma,0.00255,0.00372
avg_C,c,entry_threshold,0.00258,0.00368
avg_C,c_prime,gamma,0.00103,0.00286
avg_C,c_prime,kappa,0.00099,0.00288
avg_C,c_prime,sigma,0.00113,0.00281
avg_C,c_prime,entry_threshold,0.00102,0.00286
avg_C,gamma,kappa,0.00179,0.00199
avg_C,gamma,sigma,0.00188,0.00198
avg_C,gamma,entry_threshold,0.00178,0.00199
avg_C,kappa,sigma,0.00081,0.00139
avg_C,kappa,entry_threshold,0.00058,0.0014
avg_C,sigma,entry_threshold,0.00069,0.00475
