output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,C_diag_mean,kappa,0.03551,0.15257
d_collapse,C_diag_mean,sigma,0.01755,0.14707
d_collapse,s,c,0.02326,0.10885
d_collapse,s,c_prime,0.03626,0.1203
d_collapse,s,gamma,0.03131,0.11161
d_collapse,s,kappa,0.02202,0.12834
d_collapse,s,sigma,0.04369,0.15776
d_collapse,c,c_prime,-0.01308,0.07299
d_collapse,c,gamma,-0.00813,0.07103
d_collapse,c,kappa,-0.00813,0.06828
d_collapse,c,sigma,-0.00441,0.0729
d_collapse,c_prime,gamma,-0.01673,0.0864
d_collapse,c_prime,kappa,-0.01797,0.08677
d_collapse,c_prime,sigma,-0.01239,0.08727
d_collapse,gamma,kappa,0.02226,0.1002
d_collapse,gamma,sigma,0.03031,0.09823
d_collapse,kappa,sigma,0.00029,0.04673
d_recovery,nu,G,-0.14158,0.25684
d_recovery,nu,q,-0.05533,0.27056
d_recovery,nu,mu,-0.14087,0.25694
d_recovery,nu,beta_trade_off,-0.13802,0.25755
d_recovery,nu,h_mean,-0.14087,0.25724
d_recovery,nu,r_mean,-0.14301,0.25669
d_recovery,nu,C_diag_mean,-0.1398,0.25709
d_recovery,nu,s,-0.14194,0.2566
d_recovery,nu,c,-0.14265,0.25689
d_recovery,nu,c_prime,-0.14372,0.2568
d_recovery,nu,gamma,-0.14123,0.25681
d_recovery,nu,kappa,-0.1423,0.25671
d_recovery,nu,sigma,-0.14123,0.25701
d_recovery,G,q,-0.12125,0.21639
d_recovery,G,mu,-0.11662,0.21973
d_recovery,G,beta_trade_off,-0.11947,0.22003
d_recovery,G,h_mean,-0.11733,0.21958
d_recovery,G,r_mean,-0.11804,0.21969
d_recovery,G,C_diag_mean,-0.11591,0.22017
d_recovery,G,s,-0.11662,0.21948
d_recovery,G,c,-0.11769,0.21972
d_recovery,G,c_prime,-0.11804,0.21969
d_recovery,G,gamma,-0.11662,0.21973
d_recovery,G,kappa,-0.11662,0.21973
d_recovery,G,sigma,-0.1184,0.22005
d_recovery,q,mu,0.01508,0.40975
d_recovery,q,beta_trade_off,0.17797,0.39848
d_recovery,q,h_mean,0.055,0.45573
d_recovery,q,r_mean,-0.01129,0.46386
d_recovery,q,C_diag_mean,0.02007,0.37922
d_recovery,q,s,0.00902,0.39617
d_recovery,q,c,0.00225,0.42161
d_recovery,q,c_prime,0.0051,0.42107
d_recovery,q,gamma,0.00902,0.40659
d_recovery,q,kappa,0.02578,0.40739
d_recovery,q,sigma,0.14482,0.39709
d_recovery,mu,beta_trade_off,-0.01032,0.06475
d_recovery,mu,h_mean,0.00857,0.0561
d_recovery,mu,r_mean,0.00358,0.05921
d_recovery,mu,C_diag_mean,0.01392,0.05243
d_recovery,mu,s,0.00893,0.05242
d_recovery,mu,c,0.01071,0.05452
d_recovery,mu,c_prime,0.01,0.0548
d_recovery,mu,gamma,0.01285,0.05291
d_recovery,mu,kappa,0.00786,0.05263
d_recovery,mu,sigma,0.00073,0.05924
d_recovery,beta_trade_off,h_mean,-0.1718,0.31855
d_recovery,beta_trade_off,r_mean,-0.14221,0.23802
d_recovery,beta_trade_off,C_diag_mean,-0.18035,0.32296
d_recovery,beta_trade_off,s,-0.17251,0.32862
d_recovery,beta_trade_off,c,-0.17394,0.32677
d_recovery,beta_trade_off,c_prime,-0.15861,0.29721
d_recovery,beta_trade_off,gamma,-0.15754,0.29663
d_recovery,beta_trade_off,kappa,-0.16182,0.31347
d_recovery,beta_trade_off,sigma,-0.06772,0.1667
d_recovery,h_mean,r_mean,-0.18223,0.26087
d_recovery,h_mean,C_diag_mean,-0.1751,0.26293
d_recovery,h_mean,s,-0.19078,0.26697
d_recovery,h_mean,c,-0.19613,0.26991
d_recovery,h_mean,c_prime,-0.19934,0.26998
d_recovery,h_mean,gamma,-0.18829,0.26507
d_recovery,h_mean,kappa,-0.18971,0.26543
d_recovery,h_mean,sigma,-0.18258,0.26483
d_recovery,r_mean,C_diag_mean,-0.11996,0.43045
d_recovery,r_mean,s,-0.09466,0.35916
d_recovery,r_mean,c,-0.1278,0.42358
d_recovery,r_mean,c_prime,-0.13671,0.42245
d_recovery,r_mean,gamma,-0.12887,0.42438
d_recovery,r_mean,kappa,-0.09786,0.35756
d_recovery,r_mean,sigma,-0.10321,0.35352
d_recovery,C_diag_mean,s,-0.07821,0.25997
d_recovery,C_diag_mean,c,-0.09746,0.28369
d_recovery,C_diag_mean,c_prime,-0.09639,0.2841
d_recovery,C_diag_mean,gamma,-0.10209,0.28314
d_recovery,C_diag_mean,kappa,-0.08962,0.26047
d_recovery,C_diag_mean,sigma,-0.09532,0.25718
d_recovery,s,c,0.0449,0.15508
d_recovery,s,c_prime,0.04703,0.16059
d_recovery,s,gamma,0.04632,0.15546
d_recovery,s,kappa,0.02351,0.15411
d_recovery,s,sigma,0.01745,0.13124
d_recovery,c,c_prime,-0.15004,0.21598
d_recovery,c,gamma,-0.14612,0.21592
d_recovery,c,kappa,-0.14612,0.21561
d_recovery,c,sigma,-0.15289,0.21703
d_recovery,c_prime,gamma,-0.13156,0.21004
d_recovery,c_prime,kappa,-0.1394,0.22171
d_recovery,c_prime,sigma,-0.14618,0.2227
d_recovery,gamma,kappa,-0.10746,0.23859
d_recovery,gamma,sigma,-0.10675,0.23891
d_recovery,kappa,sigma,-0.00796,0.03402
hysteresis_width,nu,G,-0.52668,1.07803
hysteresis_width,nu,q,0.122,1.50803
hysteresis_width,nu,mu,-0.39289,1.05272
hysteresis_width,nu,beta_trade_off,-0.55101,0.91435
hysteresis_width,nu,h_mean,-0.27734,1.37691
hysteresis_width,nu,r_mean,-0.63817,1.03611
hysteresis_width,nu,C_diag_mean,-0.55101,1.03763
hysteresis_width,nu,s,-0.32397,1.13969
hysteresis_width,nu,c,-0.40708,1.17714
hysteresis_width,nu,c_prime,-0.44154,1.13718
hysteresis_width,nu,gamma,-0.41924,1.18072
hysteresis_width,nu,kappa,-0.42735,1.01468
hysteresis_width,nu,sigma,-0.59763,0.89698
hysteresis_width,G,q,-0.52625,0.83287
hysteresis_width,G,mu,-0.54246,0.82449
hysteresis_width,G,beta_trade_off,-0.57693,0.80432
hysteresis_width,G,h_mean,-0.70463,1.00673
hysteresis_width,G,r_mean,-0.70463,1.07539
hysteresis_width,G,C_diag_mean,-0.66004,0.99817
hysteresis_width,G,s,-0.54246,0.82449
